,,,,,,,,
,,PRELUDE,SOLO,ENSEMBLE,,,,
,,SUBSCRIBER,SUBSCRIBER,SUBSCRIBER,,TEACHER,,
,,ADMIN,ADMIN,ADMIN,,ADMIN,TEACHER,STUDENT
,DASHBOARD,X,X,X,,X,X,X
,TEACHER ADMIN,,,X,,,,
,TEACHERS,X,X,X,,X,,
,SUPPORT,X,X,X,,X,X,
,STUDENTS,X,X,X,,X,X,
,SETTINGS,X,X,X,,X,X,
,SEQUENCES,X,X,X,,X,X,
,ALL GAMES,X,X,X,,X,X,X
,STUDENT RESOURCES,X,X,X,,X,X,X
,MY COURSES,,,,,,,X
,MY TEACHER,,,,,,,X
